trade_date,FTSE,IXIC,N225,SPX,XIN9
20200123,-0.8485,0.1994,-0.9817,0.1141,-2.9069
20200122,-0.5095,0.1383,0.6989,0.0289,0.2719
20200121,-0.5324,-0.1931,-0.9091,-0.2652,-1.9491
20200120,-0.3013,0.34,0.1757,0.3862,0.3727
20200117,0.8509,1.0631,0.4518,0.8367,0.1246
20200116,-0.4316,0.0797,0.0692,0.187,-0.5467
20200115,0.2683,-0.2437,-0.452,-0.1515,-0.6574
20200114,0.0624,1.0357,0.7321,0.6976,-0.3843
20200113,0.3921,-0.267,0.4663,-0.2855,0.9444
20200110,-0.1352,0.8127,2.306,0.6655,-0.0478
20200109,0.3061,0.6689,-1.5735,0.4902,1.1268
20200108,0.0143,-0.0319,1.5982,-0.2803,-0.947
20200107,-0.0197,0.562,-1.9097,0.3533,0.7771
20200106,-0.6174,-0.7855,-0.7597,-0.706,-0.8262
20200103,0.238,1.3328,-0.3645,0.8379,-0.49
20200102,0.8202,0.2975,0.5973,0.2946,1.0278
20191231,-0.588,-0.6732,-0.2002,-0.5781,0.0874
20191230,-0.7567,-0.1748,0.0398,0.0034,1.3935
20191227,0.1659,0.7764,0.0188,0.5128,0.2427
20191224,0.1135,0.0808,-0.2021,-0.0195,0.8593
20191223,0.5422,0.2318,-0.2907,0.0866,-0.4698
20191220,0.1143,0.4247,-0.5472,0.4945,0.2425
20191219,0.4386,0.6739,0.475,0.4459,-0.9763
20191218,0.2056,0.0495,-0.2945,-0.0432,-0.154
20191217,0.0829,0.1036,2.5541,0.0335,-0.0994
20191216,2.2521,0.9084,0.1409,0.7148,-0.0734
20191213,1.0995,0.2014,-0.0783,0.0073,1.2637
20191212,0.7929,0.7311,-0.0875,0.8575,-0.2497
20191211,0.0345,0.4395,0.3267,0.2908,2.2025
20191210,-0.2784,-0.0655,0.2331,-0.1097,-0.3348
20191209,-0.0796,-0.4009,0.7126,-0.3163,0.3388
20191206,1.4263,1.0014,-1.0461,0.9136,-0.0262
20191205,-0.7046,0.047,-0.6362,0.15,-0.2681
20191204,0.4154,0.5402,1.0114,0.6324,0.6297
20191203,-1.7456,-0.5526,-0.4922,-0.6638,0.5706
20191202,-0.8247,-1.1249,-0.1222,-0.8631,-0.0479
20191129,-0.9425,-0.4562,0.2757,-0.4011,0.4674
20191128,-0.1797,0.662,0.3456,0.4174,0.1498
20191127,0.3598,0.1789,0.7785,0.2196,-1.2559
20191126,0.0926,1.3216,0.3225,0.7507,-0.3793
20191125,0.9483,0.1608,-0.4751,0.2175,-0.2303
20191122,1.2193,-0.2407,-0.6186,-0.1583,0.0092
20191121,-0.3296,-0.5126,-0.53,-0.3756,1.0184
20191120,-0.8371,0.2423,0.4868,-0.0593,-1.0757
20191119,0.2203,0.1067,0.699,0.0503,-0.7108
20191118,0.0652,0.729,-0.7647,0.7695,-1.041
20191115,0.1396,-0.0363,-0.8509,0.0837,0.6144
20191114,-0.7951,-0.047,0.8065,0.0712,0.7709
20191113,-0.1932,0.2577,-0.2566,0.1565,-0.3189
20191112,0.5035,-0.1301,0.2638,-0.1962,-0.1005
20191111,-0.4191,0.4836,0.1137,0.2561,-0.1425
20191108,-0.635,0.284,0.2229,0.273,-0.0536
20191107,0.132,-0.2851,1.7558,0.0703,-1.6001
20191106,0.116,0.0175,-0.3327,-0.1186,-0.4874
20191105,0.2495,0.558,0.3674,0.3704,-0.0476
20191104,0.9212,1.1341,-0.5703,0.9662,-0.2428
20191101,0.7455,-0.1399,0.4673,-0.3023,0.5137
20191031,-1.124,0.3278,0.2959,0.3253,0.6573
20191030,0.3356,-0.5902,0.2163,-0.0832,1.985
20191029,-0.3413,1.0053,0.5534,0.5581,0.0806
20191028,0.093,0.7002,0.3392,0.4073,-0.5312
20191025,-0.0516,0.813,0.2499,0.192,-0.0265
20191024,0.9298,0.1911,0.1818,0.2847,0.2421
20191023,0.669,-0.719,-0.0937,-0.3569,0.172
20191022,0.6819,0.908,1.1965,0.6872,0.0684
20191021,0.1828,-0.8252,1.8732,-0.3919,-0.6316
20191018,-0.4421,0.4021,1.1456,0.2763,0.0996
20191017,0.2005,-0.301,0.4456,-0.2,0.5781
20191016,-0.6058,1.2432,-0.6087,0.9956,-1.532
20191015,-0.0251,-0.1041,0.9943,-0.1387,0.2723
20191014,-0.464,1.3365,-0.5625,1.0939,-0.3476
20191011,0.8449,0.5952,-0.768,0.6416,0.0926
20191010,0.2771,1.022,0.1276,0.9105,0.9534
20191009,0.3269,-1.6655,-0.3561,-1.5561,1.4426
20191008,-0.7604,0.7521,0.0895,0.5048,0.3275
20190930,-0.2424,-1.1335,0.1571,-0.5316,0.0333
20190927,1.022,-0.5784,0.3813,-0.2429,1.1111
20190926,0.838,1.0477,-0.1846,0.6159,-1.0326
20190925,-0.0197,-1.4648,0.0593,-0.8416,-0.0492
20190924,-0.473,-0.0642,0.7494,-0.0097,0.0747
20190923,-0.2565,-0.7969,0.9614,-0.4896,-0.2925
20190920,-0.1563,0.0671,0.3456,0.002,0.3353
20190919,0.5793,-0.1054,0.5606,0.0343,-1.1088
20190918,-0.0867,0.3984,0.5389,0.2582,0.3152
20190917,-0.0138,-0.2834,2.1153,-0.3136,-0.0214
20190916,-0.625,0.3034,0.1163,0.2879,0.8058
20190912,0.0905,1.0579,0.0241,0.723,-1.3735
20190911,0.9642,-0.0406,-0.4066,0.0322,-0.6415
20190910,0.4442,-0.1929,1.1898,-0.0094,1.3994
20190909,-0.6389,-0.1695,-0.0903,0.0911,-0.7453
20190906,0.1536,1.7544,0.1141,1.301,-0.4162
20190905,-0.5483,1.3045,0.9626,1.0842,-0.0303
20190904,0.5926,-1.1142,-2.1721,-0.6899,0.8008
20190903,-0.1888,-0.1318,0.4019,0.0643,0.7872
20190902,1.0373,1.4829,0.0458,1.2687,0.9596
20190830,0.3182,0.3824,-0.2836,0.6545,-0.0013
20190829,0.9784,-0.3411,0.5547,-0.3203,0.8089
20190828,0.3545,1.3154,0.7069,1.0983,0.7647
20190827,-0.0761,-2.9985,0.0645,-2.5946,-0.4801
20190823,-0.4658,-0.3593,-1.2078,-0.0506,-0.4222
20190822,-1.0521,0.9014,0.9762,0.8247,0.9039
20190821,1.1084,-0.6779,-1.1089,-0.7915,-1.9423
20190820,-0.8992,1.3528,0.4442,1.2106,1.2014
20190819,1.0187,1.6657,0.3743,1.4426,0.361
20190816,0.7095,-0.0942,-0.334,0.2464,-0.0411
20190815,-1.1314,-3.0241,-0.6514,-2.9293,0.0215
20190814,-1.4208,1.9451,-1.7398,1.4762,1.6507
20190813,0.3346,-1.2028,-2.1068,-1.1958,0.3337
20190812,-0.374,-0.9954,0.0904,-0.6617,0.2632
20190809,-0.4399,2.2426,-0.865,1.8762,0.3839
20190808,1.2113,0.3774,0.428,0.0767,-1.0306
20190807,0.3766,1.3879,-0.1909,1.3017,1.9315
20190806,-0.7221,-3.4736,-0.4523,-2.9778,-0.6731
20190805,-2.4735,-1.3198,0.2164,-0.7283,1.4649
20190802,-2.3443,-0.7865,0.4102,-0.8999,-0.5293
20190801,-0.0252,-1.1868,0.9529,-1.0886,-0.7174
20190731,-0.7845,-0.2378,-0.2338,-0.2579,-1.9248
20190730,-0.5183,-0.4427,1.9992,-0.1616,-1.3823
20190729,1.8221,1.1127,-1.97,0.7388,-1.026
20190726,0.8013,-0.9969,-0.3068,-0.5262,-1.1403
20190725,-0.1654,0.8496,-0.6947,0.4688,0.4452
20190724,-0.7331,0.5761,0.1958,0.6848,-0.1355
20190723,0.558,0.7077,0.5111,0.2829,0.1875
20190722,0.083,-0.7402,-0.1469,-0.6177,1.0025
20190719,0.2083,0.2691,0.143,0.3582,0.6772
20190718,-0.5623,-0.4571,-0.975,-0.6531,-0.2346
20190717,-0.5509,-0.4285,0.2024,-0.3404,-0.1474
20190716,0.6038,0.1704,0.2971,0.0176,1.2813
20190715,0.3431,0.5869,-0.5337,0.462,-0.5514
20190712,-0.0513,-0.0791,0.1118,0.2285,-0.2842
20190711,-0.2771,0.7468,2.1341,0.4511,-0.7513
20190710,-0.0767,0.5353,-0.2917,0.1237,-0.1391
20190709,-0.1696,-0.7769,1.1931,-0.4835,0.6999
20190708,-0.0512,-0.1033,-0.5059,-0.1806,0.1531
20190705,-0.6634,0.754,-0.4331,0.7672,-0.0287
20190704,-0.0754,0.2216,0.1287,0.2928,-0.6189
20190703,0.6632,1.0607,-0.9515,0.7672,-2.0551
20190702,0.8228,0.4829,0.6046,0.5757,0.5768
20190701,0.9679,0.7306,1.722,0.3823,-0.2668
20190628,0.3148,0.3202,-0.7162,-0.1234,-1.14
20190627,-0.1896,-1.5112,0.0337,-0.9496,-0.0152
20190626,-0.0814,-0.3238,0.4036,-0.1732,2.8949
20190625,0.0774,-0.2438,-0.4625,-0.1259,-0.1837
20190624,0.1241,0.8015,-0.3516,0.9472,1.2774
20190621,-0.2282,0.4204,0.3306,0.2985,-0.2036
20190620,0.2823,1.3876,1.1957,0.9717,-1.4346
20190619,-0.5307,0.6203,-0.0099,0.0932,0.4309
20190618,1.1652,-0.5164,1.801,-0.1612,-0.4526
20190617,0.157,0.5699,-0.0115,0.4097,3.41
20190614,-0.3093,-0.3816,-0.9238,-0.2038,1.2616
20190613,0.0129,-0.0077,-1.6299,-0.035,0.4963
20190612,-0.4167,1.0471,-0.2897,0.466,0.1104
20190611,0.3106,0.5289,-1.2078,0.6136,-0.3947
20190610,0.5947,0.6425,0.3661,0.8162,-0.2416
20190606,0.5489,2.6469,0.3095,2.1432,-0.6759
20190605,0.0822,-1.6118,-0.1604,-0.2765,2.5098
20190604,0.4104,-1.5139,-0.6213,-1.3195,1.6122
20190603,0.3224,0.2704,0.0513,0.2098,-0.517
20190531,-0.7821,-0.7892,-0.1375,-0.6912,0.1826
20190530,0.4573,-0.3884,0.243,-0.8376,-0.8749
20190529,-1.1508,0.1144,0.8883,0.1354,0.4239
20190528,-0.1206,-1.5812,-0.5927,-1.1914,-0.5603
20190524,0.6457,-0.448,0.5759,-0.2824,-0.5252
20190523,-1.4064,1.082,-0.5854,0.8496,0.0576
20190522,0.0719,-1.4573,-0.7198,-0.6749,1.0813
20190521,0.2468,-1.0352,-0.2673,-0.5837,0.6468
20190520,-0.5136,0.9703,-0.9279,0.8895,0.7784
20190517,-0.0665,1.1334,-1.4648,0.5839,-1.7551
20190516,0.7751,1.1438,-1.5051,0.8016,-0.5484
20190515,0.7643,-3.4094,-0.219,-2.4131,0.8304
20190514,1.0877,0.0803,0.4846,0.372,-0.7137
20190513,-0.5499,-0.412,-0.2684,-0.3021,-1.8989
20190510,-0.0572,-0.2567,0.1883,-0.1605,0.1909
20190509,-0.8746,-1.9639,0.0781,-1.6512,2.5052
20190508,0.145,-0.4987,0.5,-0.4471,-0.5904
20190507,-1.6282,-0.8143,-0.8432,0.0951,-1.6027
20190430,-0.3016,0.1897,0.2534,0.1071,3.6349
20190429,0.1679,0.3414,0.237,0.4685,-2.1324
20190426,-0.0799,0.2056,1.3651,-0.0369,-1.7503
20190425,-0.5035,-0.2315,0.7332,-0.2192,0.5133
20190424,-0.6822,1.3169,0.1098,0.8841,-4.9607
20190423,0.8471,0.2152,-0.5276,0.1012,0.0246
20190418,-0.1531,0.0248,0.1881,0.1579,1.8329
20190417,0.0187,-0.0519,-0.2102,-0.2274,-1.3006
20190416,0.4444,0.3037,0.0541,0.0509,-1.6138
20190415,-0.0026,-0.1021,0.9667,-0.0629,-0.1547
20190412,0.2576,0.463,-0.0173,0.6609,0.3572
20190411,-0.0534,-0.2119,1.4299,0.0038,-2.706
20190410,-0.0493,0.6949,0.818,0.3478,1.6417
20190409,-0.3532,-0.5607,-1.6136,-0.6067,-0.3376
20190408,0.0674,0.1913,-0.2317,0.1047,-0.2793
20190404,-0.2203,-0.0477,2.1513,0.2085,3.3473
20190403,0.3675,0.597,-3.0065,0.2148,0.3859
20190402,1.0077,0.2527,0.0852,0.0017,-0.3705
20190401,0.5246,1.2885,0.1951,1.1569,-1.9175
20190329,0.6201,0.7843,-0.0818,0.6734,0.5484
20190328,0.558,0.3374,0.6231,0.359,0.8146
20190327,-0.0292,-0.6259,0.7696,-0.4644,0.284
20190326,0.2607,0.7068,-0.0151,0.7183,1.2101
20190325,-0.4164,-0.0671,-0.9926,-0.0839,0.9152
20190322,-2.0083,-2.504,1.7922,-1.8975,-0.208
20190321,0.8819,1.4231,0.4734,1.0853,1.9746
20190320,-0.4504,0.065,-2.0062,-0.2944,3.9426
20190319,0.3399,0.1228,-0.6519,-0.0131,-0.1984
20190318,0.981,0.3375,-0.5959,0.3706,1.4632
20190315,0.5963,0.7551,-0.4388,0.4985,-0.1522
20190314,0.3665,-0.1635,1.0154,-0.0868,-2.9233
20190313,0.1124,0.69,1.0172,0.695,-0.2075
20190312,0.2879,0.4362,-0.7949,0.2953,-0.4835
20190311,0.3703,2.0237,0.4994,1.4666,0.1624
20190308,-0.7438,-0.1795,-0.3662,-0.2132,-0.7147
20190307,-0.5343,-1.1252,0.4794,-0.8126,2.7239
20190306,0.175,-0.9297,-0.1804,-0.6524,1.134
20190305,0.6874,-0.016,0.1528,-0.1131,0.3106
20190304,0.3892,-0.2341,0.6048,-0.3881,0.1698
20190301,0.4523,0.834,0.0977,0.6895,0.2872
20190228,-0.4569,-0.291,1.824,-0.2826,0.9461
20190227,-0.6142,0.069,-1.131,-0.0544,-3.4555
20190226,-0.4541,-0.0683,-0.0226,-0.079,-2.0511
20190225,0.0716,0.3575,1.3433,0.1232,0.3445
20190222,0.1564,0.9094,2.6117,0.6411,-0.1209
20190221,-0.847,-0.392,0.0717,-0.3526,0.7489
20190220,0.6888,0.0307,,0.1777,2.9099
20190219,-0.5582,0.1922,,0.1499,-0.0773
20190218,-0.2378,0.612,,1.0879,0.5921
20190215,0.5512,0.0887,,-0.2652,-2.2281
20190214,0.0858,0.0777,,0.3024,6.0408
20190213,0.8089,1.4602,,1.289,1.4997
20190212,0.0565,0.133,,0.0709,-0.5369
20190211,0.8192,-0.2454,,0.0899,0.4356
20190201,0.7371,,,,-0.1709
,,,,,2.6182
,,,,,-2.4121
,,,,,-0.0016
,,,,,1.7038
,,,,,0.0747
,,,,,1.253
,,,,,0.6134
